project_id,planned_duration_days,num_floors,monsoon_exposure_days,labour_availability_pct,material_delay_risk,contractor_experience_years,site_accessibility_score,design_change_frequency,funding_regularity_score,permit_delay_days,delay_occurred,delay_days
P032,240,4,15,73.6,Medium,5,3,2,9,9,1,40
P033,342,5,37,84.9,Low,18,2,0,6,18,0,0
P034,225,3,47,85.5,Medium,4,6,2,3,38,1,42
P035,262,1,12,99.3,Medium,8,9,2,1,24,0,0
P036,206,1,5,59.2,Low,21,5,2,1,13,1,20
P037,90,5,52,71.2,Medium,11,8,1,8,27,1,21
P038,225,1,57,72.9,Low,4,6,0,1,19,1,34
P039,329,1,28,80.5,Medium,2,8,2,6,0,1,47
P040,328,4,48,98.5,Low,17,1,2,1,4,1,58
P041,348,1,52,100.0,Medium,19,1,1,3,44,1,85
P042,377,3,33,72.1,Medium,2,6,4,9,16,1,42
P043,392,2,22,89.7,Medium,19,7,1,2,17,1,59
P044,397,5,56,100.0,Low,23,3,5,2,5,1,63
P045,294,4,42,60.2,Medium,23,7,3,8,24,1,75
P046,284,5,26,70.2,Low,19,5,1,6,20,1,35
P047,222,1,40,91.4,Low,13,9,0,6,29,0,0
P048,196,2,47,80.7,Medium,17,3,1,7,13,1,30
P049,243,1,13,92.4,Medium,13,2,2,7,36,1,28
P050,128,1,56,63.3,Low,4,3,3,3,41,1,23
P051,95,4,51,93.1,Low,13,6,2,8,8,1,10
P052,332,3,30,85.2,Low,2,4,4,9,1,0,0
P053,292,1,7,96.9,Low,22,4,2,6,36,0,0
P054,228,4,35,92.6,Low,24,5,0,2,12,0,0
P055,257,3,1,100.0,Medium,17,5,2,9,33,0,0
P056,165,3,34,83.0,Medium,8,9,3,4,24,1,32
P057,178,2,17,79.0,Low,19,6,3,5,39,1,20
P058,128,1,50,59.6,Medium,10,4,5,5,26,1,32
P059,343,4,3,100.0,High,1,6,1,8,14,1,57
P060,350,2,28,91.1,Medium,19,3,5,8,17,1,48
P061,200,1,39,100.0,High,8,1,3,6,10,1,43
P062,391,2,36,82.7,Medium,21,9,2,9,34,1,59
P063,114,3,25,79.2,Low,2,1,1,3,23,1,20
P064,269,4,5,73.4,Low,18,5,3,8,6,0,0
P065,346,3,31,82.2,Low,19,1,0,2,0,1,48
P066,264,5,49,50.2,Low,6,3,1,7,38,1,69
P067,355,3,9,82.8,Medium,23,2,3,8,36,1,43
P068,186,2,27,77.8,Low,14,8,3,7,9,0,0
P069,352,2,32,85.9,Low,2,1,2,3,22,1,26
P070,109,2,4,96.2,Low,21,3,2,8,22,0,0
P071,217,3,31,77.6,Low,8,2,2,4,25,1,32
P072,198,5,33,62.4,Medium,6,7,0,9,30,1,43
P073,257,2,33,100.0,Low,13,1,2,6,42,1,33
P074,270,1,35,79.3,High,7,8,4,4,19,1,48
P075,333,2,42,86.5,Low,9,9,2,9,38,0,0
P076,380,3,2,78.3,Medium,17,1,2,8,30,0,0
P077,238,2,16,97.4,Medium,18,9,2,7,16,1,21
P078,175,2,57,73.2,Medium,19,8,5,7,16,1,34
P079,241,1,34,71.7,High,11,8,2,4,28,1,77
P080,299,5,32,85.2,Low,23,3,1,2,31,1,63
P081,128,1,45,96.7,Low,21,9,2,7,19,0,0
P082,154,5,29,81.9,Low,18,4,2,9,14,0,0
P083,394,4,56,69.2,High,5,6,6,6,44,1,83
P084,196,1,33,77.0,High,24,6,2,3,19,1,51
P085,150,1,58,99.0,Medium,24,3,2,9,3,1,21
P086,187,4,10,77.6,Low,9,3,5,6,7,1,27
P087,265,5,25,88.6,Low,5,1,0,3,2,1,26
P088,129,1,26,86.9,Medium,16,8,1,9,41,1,12
P089,244,3,37,84.3,High,19,7,0,5,29,1,56
P090,171,2,35,100.0,Low,2,1,1,8,44,1,32
P091,163,3,40,80.9,Medium,5,6,2,1,11,1,20
P092,282,1,21,76.2,High,15,4,3,6,14,1,66
P093,147,5,22,61.6,High,17,3,1,4,31,1,19
P094,173,2,21,87.2,High,20,6,2,6,14,1,33
P095,252,5,48,67.0,High,16,8,1,5,7,1,72
P096,263,1,49,89.7,Low,21,8,4,4,35,1,50
P097,303,2,53,92.7,Low,13,1,0,2,30,1,42
P098,100,4,44,85.1,Medium,9,1,0,4,32,1,22
P099,331,2,59,82.8,High,1,4,1,2,14,1,57
P100,394,1,39,98.8,Low,6,9,0,2,11,1,63
P101,267,1,27,75.0,Medium,7,4,3,2,11,1,44
P102,114,4,44,63.3,Low,13,8,2,2,5,1,22
P103,239,4,36,68.5,Medium,22,1,3,5,3,1,54
P104,109,5,59,63.3,Medium,4,2,4,3,44,1,35
P105,110,4,14,91.0,Low,23,2,2,8,38,0,0
P106,173,5,1,85.2,Low,2,3,3,7,30,0,0
P107,99,3,2,59.0,Low,12,9,1,1,19,0,0
P108,373,4,56,62.4,Medium,17,1,4,2,13,1,66
P109,382,1,19,83.8,Low,5,5,0,1,13,0,0
P110,101,2,41,76.2,Medium,2,9,3,7,43,0,0
P111,383,2,19,73.2,Low,23,8,1,1,25,0,0
P112,203,4,17,93.6,Medium,12,8,6,2,5,1,25
P113,250,1,40,78.9,Low,2,6,3,7,18,1,39
P114,218,1,23,93.8,Low,1,7,2,1,31,0,0
P115,380,4,43,82.5,Low,14,2,3,5,28,1,51
P116,101,3,4,99.3,Medium,15,7,3,7,15,0,0
P117,392,5,52,79.0,High,15,4,2,4,26,1,131
P118,245,4,34,72.1,Medium,2,1,3,7,12,1,35
P119,330,5,41,72.1,Medium,12,8,1,7,21,1,60
P120,303,4,27,73.6,Medium,10,8,2,2,23,1,52
P121,149,3,38,73.9,Medium,1,7,1,2,32,1,22
P122,239,2,47,69.2,Low,11,9,2,3,6,0,0
P123,174,5,17,64.8,Medium,17,7,3,4,39,0,0
P124,318,5,32,62.4,Low,6,9,4,8,37,1,63
P125,156,4,53,79.0,Low,2,7,3,8,21,0,0
P126,389,4,57,70.1,Medium,23,1,3,3,39,1,62
P127,337,5,43,91.3,Low,22,2,4,4,32,1,33
P128,326,3,1,63.6,Low,1,3,2,6,42,0,0
P129,232,1,21,58.1,Medium,17,6,6,5,34,1,38
P130,219,1,34,82.3,Medium,2,9,2,6,2,1,39
P131,114,4,12,74.7,Low,15,4,0,4,17,0,0
P132,249,3,28,82.6,Low,19,5,2,2,30,1,34
P133,172,4,8,74.6,Medium,1,4,2,4,28,1,27
P134,213,5,37,69.5,High,3,7,2,6,4,1,24
P135,151,5,26,98.4,Medium,23,8,1,2,44,1,26
P136,262,4,31,70.1,Medium,21,4,1,2,17,1,42
P137,322,5,28,71.5,Medium,13,1,4,1,9,1,56
P138,321,5,20,81.8,Low,22,8,2,3,4,0,0
P139,176,4,36,91.5,Medium,3,8,0,5,39,1,29
P140,317,4,10,74.7,Low,5,6,2,1,30,1,60
P141,138,3,35,97.9,Medium,23,2,1,8,1,1,20
P142,270,3,31,90.9,Medium,11,1,2,9,21,1,38
P143,302,5,43,84.5,Medium,3,7,2,5,7,1,56
P144,327,5,6,95.5,Low,13,2,0,4,26,0,0
P145,139,3,30,67.6,Low,22,5,2,7,28,1,10
P146,197,2,46,79.9,Low,16,8,3,2,42,1,31
P147,391,1,38,100.0,Low,9,4,4,2,19,1,59
P148,332,5,30,90.7,High,4,4,4,6,3,1,45
P149,109,2,16,75.4,Medium,24,5,3,2,18,1,19
P150,149,5,18,72.2,Low,13,6,2,4,29,1,14
P151,272,3,32,81.0,Medium,15,9,4,6,13,1,44
P152,226,1,25,67.0,Low,18,3,0,6,44,1,36
P153,140,2,52,75.0,Low,20,1,4,3,0,1,22
P154,189,4,5,78.7,High,4,5,0,6,27,1,19
P155,309,5,13,71.9,Medium,10,9,1,4,42,0,0
P156,173,5,17,52.9,Low,15,2,2,8,13,1,29
P157,110,1,17,87.4,Low,17,3,3,2,3,0,0
P158,175,2,54,86.5,Low,11,9,3,1,9,1,18
P159,91,4,21,87.2,Low,16,3,2,3,31,1,11
P160,109,2,25,95.9,Medium,24,8,4,1,1,0,0
P161,337,2,2,83.0,Low,6,7,5,8,23,0,0
P162,386,2,35,70.7,Medium,15,8,2,7,15,0,0
P163,348,1,26,78.0,Low,5,5,2,7,15,0,0
P164,218,5,44,69.3,High,23,5,4,3,27,1,70
P165,223,4,18,85.3,Low,24,2,3,8,25,1,18
P166,252,3,51,85.0,Low,11,9,4,3,32,1,30
P167,361,3,33,96.3,Low,7,6,3,4,24,0,0
P168,392,1,37,74.9,Medium,21,4,5,6,26,1,74
P169,180,2,33,61.5,High,8,3,3,6,22,1,20
P170,172,3,45,84.4,Medium,20,7,3,4,13,1,22
P171,253,3,39,61.6,Medium,21,3,2,4,27,1,68
P172,214,5,45,88.7,Medium,16,3,2,5,19,1,40
P173,261,1,32,84.2,Low,3,1,0,8,44,1,59
P174,165,4,45,88.1,High,22,8,5,6,11,1,38
P175,283,1,23,99.7,Medium,23,6,0,2,16,1,23
P176,351,4,25,79.7,Low,13,1,2,8,12,1,44
P177,138,1,45,76.2,Low,21,1,1,9,23,1,14
P178,130,5,16,78.2,Medium,9,7,3,1,39,1,17
P179,161,5,7,67.8,Medium,1,7,3,7,19,1,29
P180,250,2,35,71.3,Low,20,1,0,3,14,1,37
P181,347,4,28,68.9,Medium,10,2,1,3,19,1,85
P182,206,2,1,97.4,High,2,1,3,5,20,1,45
P183,216,1,30,98.0,Low,21,6,2,5,37,0,0
P184,211,2,29,98.7,Medium,12,9,2,9,35,0,0
P185,256,5,33,79.0,Low,24,1,1,2,27,0,0
P186,215,1,10,95.3,Medium,2,4,2,2,4,0,0
P187,156,2,10,60.8,Low,15,5,2,5,34,0,0
P188,176,4,5,96.1,High,13,4,0,5,36,1,28
P189,251,1,44,89.7,Low,10,2,1,5,43,1,35
P190,228,1,38,67.1,Medium,3,2,4,8,18,1,35
P191,97,3,27,87.5,High,21,2,3,7,27,1,13
P192,273,4,19,75.7,High,19,3,1,6,35,1,42
P193,305,5,22,84.9,Low,18,1,5,3,8,0,0
P194,205,5,44,96.0,High,19,6,1,7,15,1,41
P195,111,3,28,100.0,Medium,12,2,2,3,7,1,25
P196,119,5,6,80.5,Medium,15,5,0,9,0,0,0
P197,253,3,34,72.8,Low,14,4,1,8,2,0,0
P198,277,2,12,82.4,Low,8,1,3,8,30,1,29
P199,384,5,2,92.0,Low,21,7,3,3,24,0,0
P200,303,2,30,82.1,Low,10,4,1,2,27,1,39
P201,142,2,23,88.3,Low,23,8,1,2,33,0,0
P202,216,2,10,74.1,Low,17,2,2,8,40,0,0
P203,246,4,27,78.7,Low,2,4,4,3,36,1,24
P204,307,4,28,100.0,Medium,10,7,2,1,3,0,0
P205,370,2,29,79.8,Medium,5,1,3,3,43,1,36
P206,102,1,17,56.0,Medium,9,9,5,8,7,1,20
P207,363,3,2,94.9,Low,8,6,2,9,9,0,0
P208,142,3,43,85.6,Low,6,8,3,6,16,0,0
P209,357,2,53,93.0,High,6,1,3,6,41,1,102
P210,311,3,40,77.8,Low,21,9,3,5,35,0,0
P211,224,5,35,84.1,Medium,8,6,2,2,33,1,41
P212,168,1,59,73.7,High,9,7,4,1,25,1,33
P213,115,1,24,86.7,Low,21,8,3,4,37,1,14
P214,277,4,56,86.0,Low,17,2,0,9,10,1,25
P215,250,3,49,94.4,Low,21,5,4,6,28,1,29
P216,324,2,43,87.4,Low,6,9,3,9,11,1,29
P217,178,2,17,73.4,Medium,6,4,4,2,7,1,22
P218,97,5,29,70.5,Medium,7,1,1,6,43,1,13
P219,163,2,35,89.4,Low,11,5,1,7,7,0,0
P220,180,3,21,76.8,Low,13,4,1,2,0,0,0
P221,249,3,24,74.2,Low,21,3,0,1,17,1,54
P222,270,2,26,95.5,High,13,4,0,9,40,1,34
P223,282,3,16,87.3,Low,4,5,3,3,44,0,0
P224,277,5,6,79.7,Medium,10,4,1,8,40,1,36
P225,201,2,38,83.1,Low,15,3,4,8,23,1,29
P226,379,5,56,74.7,Low,13,5,2,9,5,1,32
P227,227,4,39,73.2,Low,3,3,0,6,35,1,33
P228,395,5,29,96.3,Medium,14,9,5,8,15,0,0
P229,148,1,54,100.0,Low,9,1,1,1,3,1,33
P230,200,3,24,84.1,Medium,19,4,2,6,0,0,0
P231,256,1,56,92.1,Low,13,6,5,1,2,1,36
P232,189,2,31,91.5,Low,11,4,0,1,13,0,0
P233,251,5,54,91.3,Medium,1,1,2,3,18,1,43
P234,132,3,9,89.0,Medium,2,8,2,2,15,1,27
P235,268,1,17,74.0,Low,12,5,1,6,32,0,0
P236,94,2,56,85.2,Low,1,2,2,7,3,1,24
P237,173,5,53,75.3,Medium,22,8,4,1,1,1,45
P238,258,1,4,86.1,Low,17,7,1,3,15,0,0
P239,91,1,59,100.0,Low,23,7,2,6,19,1,13
P240,173,1,34,66.4,Low,3,6,2,4,1,1,34
P241,154,1,18,79.4,Medium,2,9,0,1,44,1,26
P242,394,2,8,88.9,Low,13,6,1,6,34,0,0
P243,333,1,58,85.1,Medium,19,8,1,2,19,1,47
P244,128,2,48,70.3,Low,1,2,1,6,18,0,0
P245,253,2,58,93.0,Low,6,1,2,1,8,1,31
P246,196,3,24,92.2,High,5,9,0,5,1,1,26
P247,212,2,59,82.0,Medium,11,5,3,9,12,1,39
P248,345,5,6,81.8,High,15,1,3,5,9,1,70
P249,331,4,6,91.7,Low,4,5,0,8,41,0,0
P250,112,1,24,65.8,Medium,13,7,3,7,15,0,0
P251,186,1,48,79.2,Medium,3,7,2,7,15,1,32
P252,303,1,8,87.7,Low,14,4,1,7,39,0,0
P253,174,3,1,99.5,Low,22,1,2,3,35,0,0
P254,251,4,8,74.0,Low,15,6,1,8,7,0,0
P255,226,5,46,88.4,Medium,8,1,1,6,0,1,45
P256,328,1,12,81.5,High,7,8,2,3,6,1,84
P257,192,1,52,88.4,High,3,5,3,8,0,1,46
P258,175,1,15,77.9,Low,7,3,3,8,17,0,0
P259,137,5,1,92.2,High,20,9,4,3,18,0,0
P260,92,3,53,90.5,Medium,4,4,0,2,8,1,12
