date,activity_id,activity,mason,helper,barbender,carpenter,machinery,cement_bags,steel_kg,sand_cum,aggregate_cum,bricks_nos,paint_litre
2026-02-05,A05,Footing concreting,2,8,0,0,"Concrete Mixer, Vibrator",46.1,729.6,3.46,6.91,0.0,0.0
2026-02-06,A05,Footing concreting,2,8,0,0,"Concrete Mixer, Vibrator",46.1,729.6,3.46,6.91,0.0,0.0
2026-02-07,A05,Footing concreting,2,8,0,0,"Concrete Mixer, Vibrator",46.1,729.6,3.46,6.91,0.0,0.0
2026-02-09,A05,Footing concreting,2,8,0,0,"Concrete Mixer, Vibrator",46.1,729.6,3.46,6.91,0.0,0.0
2026-02-09,A06,Column footing pedestal,2,4,2,2,Concrete Mixer,14.4,228.0,1.08,2.16,0.0,0.0
2026-02-10,A06,Column footing pedestal,2,4,2,2,Concrete Mixer,14.4,228.0,1.08,2.16,0.0,0.0
2026-02-11,A06,Column footing pedestal,2,4,2,2,Concrete Mixer,14.4,228.0,1.08,2.16,0.0,0.0
2026-02-12,A06,Column footing pedestal,2,4,2,2,Concrete Mixer,14.4,228.0,1.08,2.16,0.0,0.0
2026-02-12,A07,Backfilling & consolidation,0,8,0,0,Plate Compactor,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,A07,Backfilling & consolidation,0,8,0,0,Plate Compactor,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-14,A07,Backfilling & consolidation,0,8,0,0,Plate Compactor,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-16,A07,Backfilling & consolidation,0,8,0,0,Plate Compactor,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-17,A07,Backfilling & consolidation,0,8,0,0,Plate Compactor,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-18,A07,Backfilling & consolidation,0,8,0,0,Plate Compactor,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,A08,Plinth beam reinforcement & shuttering,2,4,3,3,Bar Bending Machine,18.5,312.4,1.28,2.56,0.0,0.0
2026-02-20,A08,Plinth beam reinforcement & shuttering,2,4,3,3,Bar Bending Machine,18.5,312.4,1.28,2.56,0.0,0.0
2026-02-21,A08,Plinth beam reinforcement & shuttering,2,4,3,3,Bar Bending Machine,18.5,312.4,1.28,2.56,0.0,0.0
2026-02-23,A08,Plinth beam reinforcement & shuttering,2,4,3,3,Bar Bending Machine,18.5,312.4,1.28,2.56,0.0,0.0
2026-02-24,A08,Plinth beam reinforcement & shuttering,2,4,3,3,Bar Bending Machine,18.5,312.4,1.28,2.56,0.0,0.0
2026-02-25,A09,Plinth beam concreting,2,6,0,0,"Concrete Mixer, Vibrator",30.8,520.7,2.13,4.26,0.0,0.0
2026-02-26,A09,Plinth beam concreting,2,6,0,0,"Concrete Mixer, Vibrator",30.8,520.7,2.13,4.26,0.0,0.0
2026-02-27,A09,Plinth beam concreting,2,6,0,0,"Concrete Mixer, Vibrator",30.8,520.7,2.13,4.26,0.0,0.0
2026-02-28,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-02,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-03,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-04,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-05,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-06,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-07,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-09,A10,Plinth masonry,4,6,0,0,-,5.1,0.0,0.84,0.0,1406.0,0.0
2026-03-10,A11,DPC laying,2,3,0,0,-,124.0,1963.3,9.3,18.6,0.0,0.0
2026-03-11,A11,DPC laying,2,3,0,0,-,124.0,1963.3,9.3,18.6,0.0,0.0
2026-03-12,A11,DPC laying,2,3,0,0,-,124.0,1963.3,9.3,18.6,0.0,0.0
2026-03-12,A12,Ground floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-03-13,A12,Ground floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-03-14,A12,Ground floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-03-16,A12,Ground floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-03-17,A12,Ground floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-03-18,A12,Ground floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-03-19,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-20,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-21,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-23,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-24,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-25,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-26,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-27,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-28,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-30,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-31,A13,Ground floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-03-31,A14,Ground floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-01,A14,Ground floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-02,A14,Ground floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-03,A14,Ground floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-04,A14,Ground floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-04,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-06,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-07,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-08,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-09,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-10,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-11,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-13,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-14,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-15,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-16,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-17,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-18,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-20,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-21,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-22,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-23,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-24,A15,Ground floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-04-08,A16,First floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-04-09,A16,First floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-04-10,A16,First floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-04-11,A16,First floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-04-13,A16,First floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-04-14,A16,First floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-04-15,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-16,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-17,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-18,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-20,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-21,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-22,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-23,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-24,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-25,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-27,A17,First floor beams & slab shuttering,3,6,4,5,Tower Hoist,17.9,303.0,1.24,2.48,0.0,0.0
2026-04-27,A18,First floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-28,A18,First floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-29,A18,First floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-04-30,A18,First floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-05-01,A18,First floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.4,666.6,2.73,5.45,0.0,0.0
2026-05-01,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-02,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-04,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-05,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-06,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-07,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-08,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-09,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-11,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-12,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-13,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-14,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-15,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-16,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-18,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-19,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-20,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-21,A19,First floor masonry,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-05,A20,Second floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-05-06,A20,Second floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-05-07,A20,Second floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-05-08,A20,Second floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-05-09,A20,Second floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-05-11,A20,Second floor columns,3,5,4,4,Bar Bending Machine,23.4,396.0,1.62,3.24,0.0,0.0
2026-05-12,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-13,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-14,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-15,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-16,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-18,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-19,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-20,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-21,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-22,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-23,A21,Second floor beams & slab shuttering,3,6,4,5,Tower Hoist,18.0,305.0,1.25,2.5,0.0,0.0
2026-05-23,A22,Second floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.6,671.0,2.75,5.49,0.0,0.0
2026-05-25,A22,Second floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.6,671.0,2.75,5.49,0.0,0.0
2026-05-26,A22,Second floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.6,671.0,2.75,5.49,0.0,0.0
2026-05-27,A22,Second floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.6,671.0,2.75,5.49,0.0,0.0
2026-05-28,A22,Second floor beam & slab concreting,3,10,0,0,"Concrete Mixer, Vibrator, Hoist",39.6,671.0,2.75,5.49,0.0,0.0
2026-05-28,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-29,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-30,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-01,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-02,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-03,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-04,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-05,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-06,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-08,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-09,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-10,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-11,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-12,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-13,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-15,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-16,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-06-17,A23,Second floor masonry incl. partitions,5,7,0,0,-,7.7,0.0,1.27,0.0,2125.0,0.0
2026-05-01,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-02,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-04,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-05,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-06,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-07,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-08,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-05-09,A24,Staircase construction,2,4,2,2,-,10.1,170.5,0.7,1.4,0.0,0.0
2026-06-18,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-19,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-20,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-22,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-23,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-24,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-25,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-26,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-27,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-29,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-30,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-01,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-02,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-03,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-04,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-06,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-07,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-08,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-09,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-10,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-11,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-13,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-14,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-15,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-16,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-17,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-18,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-20,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-21,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-22,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-07-23,A25,Internal plastering,8,8,0,0,-,11.7,0.0,0.56,0.0,0.0,0.0
2026-06-18,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-19,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-20,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-22,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-23,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-24,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-25,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-26,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-27,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-29,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-06-30,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-07-01,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-07-02,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-07-03,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-07-04,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-07-06,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
2026-07-07,A26,External plastering,5,6,0,0,Scaffolding,8.6,0.0,0.41,0.0,0.0,0.0
